idealo Connect,idealo Connect
Settings,Configuration
"Directory ""%s"" does not exist. Installation of idealo Connect incomplete?","Le dossier  ""%s"" n’existe pas. L’installation d’idealo Connect est-elle complète ?"
Re-Generation necessary,Il est nécessaire de créer un nouveau dossier
"File <a href=""%s"" target=""_blank"">%s</a> was generated successfully","Le fichier <a href=""%s"" target=""_blank"">%s</a> a été créé avec succès"
idealo Connect - Manage Attributes,idealo Connect – gestion des attributs
Manage Attributes,Gestion des attributs
Feed Attributes,Attributs du flux produits
Create new attribute,Créer un nouvel attribut
Use existing attribute,Utiliser un attribut existant
Manufacturer,Fabricant
Manufacturer SKU,Numéro de référence du fabricant
Delivery Time,Délai de livraison
Delivery Times,Délais de livraison
Delivery Time (out of stock),Délai de livraison (article non disponible)
Add,Ajouter
Shipping Cost,Frais de port
Shipping Cost idealo.de,Frais de port idealo.de
Shipping Cost idealo.at,Frais de port idealo.at
Shipping Cost idealo.co.uk,Frais de port idealo.co.uk
Shipping Cost idealo.fr,Frais de port idealo.fr
Shipping Cost idealo.it,Frais de port idealo.it
Shipping Cost idealo.es,Frais de port idealo.es
Shipping Cost idealo.pl,Frais de port idealo.pl
Shipping Cost idealo.in,Frais de port idealo.in
Shipping Cost based on Price,Frais de port selon prix
Shipping Cost based on Weight,Frais de port selon poids
Shipping Comment,Commentaire de livraison
Shipping Comments,Commentaires de livraison
Comment on shipping of article or methods of payment offered,Commentaire à propos de l’envoi du produit ou des moyens de paiement proposés
OEN,Numéro OEN (référence constructeur)
"Original replacement part number consisting of manufacturer's initials and identifier code, separated by a comma","Numéro de la pièce de remplacement originale, correspondant à l’initiale du fabricant et à son code d’identification, séparés par une virgule"
KBA,Numéro KBA (utilisé uniquement en Allemagne)
"Kraftfahrt-Bundesamt (KBA) number, i.e. German Federal Motor Transport Authority number, consisting of the 4 digits in the Manufacturer Key Number and the first 3 characters in the Type Key Number","Le numéro de Kraftfahrt-Bundesamt (KBA), déterminé par le ministère fédérale allemand du transport, permet d’identifier le constructeur automobile et le modèle du véhicule concerné."
EAN,Code EAN (code barre)
